"id","playerid","role","name","team","year","s1","s2","s3","s4","s5","s6","s7","s8","s9","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","b13","b14","b15","b16","numqs","win","lose","save","strikeout","numofmatches","innings","strikeoutrate","numofpitches","numofbatters","hitsallowed","homerunallowed","basesonballs","hitbypitch","intentionalwalk","runsallowed","earnedruns","completegames","shutouts","nowalk","opponentsbattingaverage","qsrate","supportpoint","runsupport","whip","maxspeed","minspeed","ballspeeddifference"
"849","1700094","playerP","山本 大貴","ヤクルト","2022","1.000","0.000","0.667","0.333","1.000","0.400","0.000","0.667","0.000","---","---","---","---","---","---","---","---","---","---","0.000","---","---","---","0.500","---","0","0","0","0","4","5","5+2/3","6.35","98","27","10","3","1","0","0","5","5","0","0","0",".385","0.00%","0","0.00","1.94","147","113","34"
"850","1700094","playerP","山本 大貴","ヤクルト","2023","0.231","0.600","0.333","0.273","0.125","0.357","0.333","0.300","0.143","---","0.000","0.000","1.000","---","0.333","---","1.000","0.000","---","0.000","---","0.000","---","0.000","0.000","0","2","0","0","26","42","35+1/3","6.62","527","148","32","4","13","3","4","11","10","0","0","0",".252","0.00%","0","0.00","1.27","150","110","40"
"851","2000024","playerP","木澤 尚文","ヤクルト","2022","0.000","0.333","0.273","0.217","0.250","0.257","0.111","0.292","0.318","---","0.000","0.000","0.000","0.000","---","0.000","0.000","0.333","0.000","0.000","0.000","0.000","0.400","0.125","---","0","9","3","0","52","55","70+1/3","6.65","994","284","57","3","21","3","1","28","23","0","0","0",".224","0.00%","0","0.00","1.11","158","123","35"
"852","2000024","playerP","木澤 尚文","ヤクルト","2023","0.250","0.167","0.200","0.313","0.542","0.160","0.077","0.308","0.143","---","---","0.333","0.333","0.000","---","0.000","---","0.200","0.000","0.000","0.000","0.250","0.000","0.000","---","0","2","3","0","49","56","53","8.32","889","227","42","3","26","5","2","19","16","0","0","0",".223","0.00%","0","0.00","1.28","156","125","31"
"853","1500139","playerP","小澤 怜史","ソフトバンク","2017","---","0.000","---","0.000","1.000","0.500","1.000","---","---","---","1.000","---","---","---","---","---","---","---","---","---","0.000","---","---","0.000","---","0","0","0","0","2","2","2","9.00","44","12","5","0","1","0","0","3","3","0","0","0",".455","0.00%","0","0.00","3.00","144","103","41"
"854","1500139","playerP","小澤 怜史","ヤクルト","2022","0.000","0.250","0.250","0.200","0.550","0.278","0.267","0.368","0.667","0.000","---","0.000","1.000","0.000","---","0.000","1.000","0.250","---","0.333","0.000","0.077","0.000","0.000","---","3","2","1","0","44","10","46","8.61","792","200","48","4","17","6","1","21","21","0","0","0",".281","37.50%","25","5.23","1.41","151","99","52"
"855","1500139","playerP","小澤 怜史","ヤクルト","2023","0.273","0.192","0.368","0.333","0.308","0.200","0.162","0.267","0.273","---","0.500","0.000","0.000","0.000","0.500","0.333","0.250","0.000","0.125","0.000","0.000","0.077","0.000","0.083","0.000","7","6","4","0","83","29","101+1/3","7.37","1632","411","83","10","29","9","1","38","34","1","1","0",".226","50.00%","36","3.90","1.11","147","98","49"
"856","1760587","playerP","ピーターズ","ヤクルト","2023","0.190","0.382","0.346","0.200","0.366","0.333","0.300","0.400","0.083","---","0.091","0.143","0.000","---","0.500","0.000","0.000","0.250","0.500","0.000","0.000","0.000","0.300","0.231","0.000","8","6","5","0","66","18","100+2/3","5.90","1650","415","99","8","21","5","3","41","36","0","0","0",".257","44.44%","56","4.71","1.19","153","111","42"
"857","1700060","playerP","阪口 皓亮","DeNA","2019","0.000","0.250","1.000","---","0.000","0.000","1.000","0.200","0.429","---","0.000","0.000","1.000","---","0.000","---","---","---","---","---","---","---","0.500","---","---","0","0","1","0","4","3","7+2/3","4.70","146","37","9","0","4","1","0","5","5","0","0","0",".300","0.00%","4","4.00","1.70","151","110","41"
"858","1700060","playerP","阪口 皓亮","DeNA","2020","0.833","0.667","0.286","0.200","0.200","0.500","0.333","0.750","0.333","---","---","1.000","0.000","---","---","---","0.000","---","0.000","0.000","0.000","0.000","0.500","1.000","---","0","0","2","0","10","3","12","7.50","252","62","22","2","7","0","0","10","10","0","0","0",".415","0.00%","3","2.08","2.42","152","107","45"
