"id","year","league","team","防御率","先発防御率","救援防御率","勝","負","セーブ","奪三振","試合数","投球回","奪三振率","投球数","打者数","被安打","被本塁打","与四球","与死球","敬遠","失点","自責点","完投","完封","無四球","被打率","QS率","援護点","援護率","WHIP","UC打数","UC被安打","UC被打率","UC被本塁打","HP"
"39","2018","セ","巨","3.79","3.63","4.12","67","71","25","1,040","143","1279","0.09","21,082","5,421","1,246","144","385","51","21","575","538","21","13","5",".251","50.35%","455","4.38","1.28","1,954","495",".253","55","73"
"40","2018","セ","Ｄ","4.18","4.30","4.01","67","74","38","1,163","143","1269","0.10","21,899","5,490","1,264","149","433","46","56","642","590","2","1","0",".255","31.47%","335","3.77","1.34","2,036","527",".259","63","136"
"41","2018","セ","中","4.36","4.08","4.93","63","78","28","941","143","1262 2/3","0.08","21,789","5,494","1,249","149","520","50","6","654","611","9","7","1",".254","48.95%","437","4.33","1.40","2,094","554",".265","73","78"
"42","2018","セ","阪","4.03","4.23","3.70","62","79","35","1,182","143","1276","0.10","22,075","5,526","1,238","127","485","51","24","628","572","4","2","1",".249","46.15%","362","3.80","1.35","1,979","501",".253","49","95"
"43","2019","セ","巨","3.77","3.83","3.68","77","64","34","1,139","143","1279 1/3","0.10","21,439","5,459","1,227","150","421","58","25","573","536","3","1","1",".248","48.25%","468","4.79","1.29","2,036","523",".257","60","112"
"44","2019","セ","Ｄ","3.93","4.04","3.80","71","69","30","1,172","143","1274","0.10","21,776","5,470","1,201","137","456","36","62","611","557","6","6","0",".244","37.06%","358","4.14","1.30","2,124","536",".252","61","111"
"45","2019","セ","阪","3.46","3.90","2.70","69","68","36","1,135","143","1289 2/3","0.10","21,417","5,445","1,209","115","415","53","29","566","496","5","3","0",".244","43.36%","323","3.35","1.26","2,245","555",".247","46","145"
"46","2019","セ","広","3.68","3.75","3.63","70","70","23","1,068","143","1280 1/3","0.09","21,864","5,515","1,198","135","481","48","32","601","524","10","4","5",".242","52.45%","385","4.04","1.31","2,207","566",".256","54","95"
"47","2019","セ","中","3.72","3.96","3.32","68","73","37","1,088","143","1269","0.10","21,352","5,352","1,155","146","430","50","22","544","525","3","2","0",".238","46.15%","402","4.09","1.25","2,145","555",".259","65","123"
"48","2019","セ","ヤ","4.78","5.05","4.42","59","82","28","1,068","143","1270","0.09","21,964","5,608","1,365","168","450","46","23","739","675","3","1","2",".268","37.06%","430","4.85","1.43","1,998","562",".281","66","111"
"49","2020","セ","巨","3.34","3.20","3.60","67","45","27","886","120","1060 2/3","7.52","17,580","4,429","901","114","374","59","16","421","394","4","4","0",".226","46.67%","393","4.93","1.20","1,732","373",".215","42","96"
"50","2020","セ","阪","3.35","3.38","3.39","60","53","30","867","120","1054 1/3","7.40","17,204","4,433","952","94","345","29","26","460","393","8","2","4",".236","55.00%","338","4.07","1.23","1,727","416",".241","44","80"
"51","2020","セ","中","3.84","3.57","4.33","60","55","31","947","120","1055","8.08","17,595","4,431","1,002","116","325","36","15","489","450","11","6","2",".247","45.00%","276","3.45","1.26","1,721","421",".245","43","94"
"52","2020","セ","Ｄ","3.76","3.92","3.54","56","58","24","932","120","1045","8.03","17,656","4,451","997","98","337","38","55","474","437","4","1","1",".248","40.83%","308","4.17","1.28","1,727","468",".271","47","104"
"53","2020","セ","広","4.06","3.74","4.64","52","56","21","913","120","1069","7.69","18,533","4,636","1,065","113","410","28","19","529","482","8","2","2",".255","51.67%","337","4.09","1.38","1,665","437",".262","46","56"
"54","2020","セ","ヤ","4.61","4.83","4.33","41","69","21","884","120","1063","7.48","18,464","4,713","1,177","139","383","28","21","589","545","1","1","0",".275","30.83%","305","4.23","1.47","1,766","497",".281","49","88"
"55","2021","セ","ヤ","3.48","3.63","3.25","73","52","44","1,129","143","1260 1/3","8.06","20,640","5,287","1,216","144","338","50","25","531","487","3","1","3",".249","43.36%","424","4.76","1.23","2,364","596",".252","69","149"
"56","2021","セ","阪","3.29","3.04","3.80","77","56","43","986","143","1257","7.06","20,234","5,244","1,136","115","352","31","36","508","460","6","2","3",".235","55.94%","394","3.90","1.18","2,141","502",".234","41","92"
"57","2021","セ","巨","3.67","3.79","3.49","61","62","33","1,079","143","1252 2/3","7.75","20,983","5,295","1,132","139","444","56","20","541","511","4","2","0",".237","44.76%","350","3.88","1.26","2,068","494",".239","59","112"
"58","2021","セ","広","3.82","3.99","3.50","63","68","37","1,034","143","1253 2/3","7.42","21,539","5,422","1,224","124","464","45","19","589","532","5","3","1",".250","58.04%","388","3.98","1.35","2,166","552",".255","53","96"
"59","2021","セ","中","3.22","3.37","2.92","55","71","36","1,005","143","1243","7.28","20,679","5,163","1,145","98","359","38","17","478","445","4","2","2",".241","52.45%","294","2.98","1.21","2,190","534",".244","57","100"
"60","2021","セ","D","4.16","4.34","3.89","54","73","27","1,057","143","1248 1/3","7.62","21,264","5,347","1,237","124","442","51","19","624","577","3","2","1",".256","40.56%","360","4.09","1.34","1,991","543",".273","47","97"
"61","2023","セ","阪","2.66","2.79","2.39","85","53","45","1,009","143","1288","7.05","20,077","5,215","1,105","88","299","42","16","424","381","10","6","5",".227","59.44%","399","3.89","1.09","2,440","560",".230","38","131"
"62","2023","セ","広","3.20","3.24","3.14","74","65","46","975","143","1275","6.88","20,600","5,357","1,187","109","374","42","27","508","454","9","7","2",".242","51.75%","325","3.25","1.22","2,392","586",".245","50","122"
"63","2023","セ","D","3.16","3.14","3.19","74","66","42","1,158","143","1289 1/3","8.08","20,726","5,361","1,206","118","333","43","26","496","452","10","3","4",".243","54.55%","361","3.57","1.19","2,382","580",".243","56","119"
"64","2023","セ","巨","3.40","3.16","3.83","71","70","31","1,075","143","1276 1/3","7.58","21,070","5,295","1,117","129","386","62","17","507","482","8","3","3",".231","55.24%","322","3.35","1.18","2,366","539",".228","54","120"
"65","2023","セ","ヤ","3.66","3.95","3.21","57","83","33","953","143","1267 2/3","6.77","20,636","5,336","1,215","143","342","63","40","567","516","3","3","1",".248","45.45%","366","3.96","1.23","2,235","570",".255","67","130"
"66","2023","セ","中","3.08","3.12","3.02","56","82","37","1,062","143","1287 1/3","7.42","21,073","5,385","1,127","76","428","50","18","498","441","4","2","2",".231","55.24%","263","2.69","1.21","2,189","526",".240","34","142"
"67","2012","パ","日","2.89","2.73","3.21","74","59","40","868","144","1279 2/3","6.10","19,697","5,289","1,176","73","367","31","15","450","411","13","7","4",".241","58.33%","361","3.59","1.21","2,489","603",".242","34","131"
"68","2012","パ","西","3.24","3.07","3.64","72","63","42","816","144","1274 2/3","5.76","21,104","5,415","1,244","79","380","64","16","518","459","9","4","2",".251","52.78%","389","3.88","1.27","2,135","547",".256","36","97"
"69","2012","パ","ソ","2.56","2.72","2.28","67","65","41","983","144","1275 1/3","6.94","20,751","5,238","1,045","58","417","49","6","429","363","16","7","5",".219","61.11%","334","3.27","1.15","2,287","520",".227","33","91"
"70","2012","パ","楽","2.99","2.94","3.15","67","67","29","915","144","1278","6.44","20,492","5,361","1,217","69","344","60","2","467","425","15","5","5",".246","64.58%","340","3.16","1.22","2,441","590",".242","30","83"
"71","2012","パ","ロ","3.13","3.29","2.80","62","67","31","762","144","1272 2/3","5.39","20,098","5,340","1,221","84","319","45","17","502","443","13","3","5",".246","55.56%","367","3.61","1.21","2,353","598",".254","36","85"
"72","2012","パ","オ","3.35","3.45","3.13","57","77","28","887","144","1278","6.25","20,721","5,417","1,266","70","378","46","11","525","475","11","4","3",".254","49.31%","314","3.16","1.29","2,290","611",".267","36","69"
"73","2013","パ","楽","3.51","3.34","3.85","82","59","36","958","144","1281","6.73","21,170","5,414","1,230","103","424","50","6","537","500","13","2","1",".249","55.56%","447","4.49","1.29","2,173","527",".243","40","67"
"74","2013","パ","西","3.54","3.37","3.95","74","66","29","984","144","1290 2/3","6.86","21,697","5,478","1,223","106","403","65","16","562","508","17","8","5",".245","52.78%","448","4.45","1.26","2,395","598",".250","55","92"
