"id","year","league","team","打率","打点","本塁打","安打数","単打","二塁打","三塁打","出塁率","長打率","OPS","得点圏打数","得点圏安打","得点圏打率","UC打数","UC安打","UC率","UC本塁打","試合数","打席数","打数","得点","四球","死球","企盗塁","盗塁","盗塁成功率","企犠打","犠打","犠打成功率","犠飛","代打数","代打安打","代打率","併殺","失策","三振"
"28","2016","セ","阪",".245","475","90","1,171","860","204","17",".312",".351",".662","1,118","278",".249","2,193","519",".237","32","143","5,401","4,789","506","435","51","84","59",".702","114","88",".772","38","300","59",".197","99","97","1,149"
"29","2016","セ","ヤ",".256","565","113","1,234","891","210","20",".331",".378",".709","1,296","341",".263","2,010","525",".261","56","143","5,509","4,828","594","524","39","105","82",".781","109","85",".780","33","248","62",".250","117","59","907"
"30","2016","セ","中",".245","473","89","1,180","861","209","21",".309",".353",".662","1,170","280",".239","2,259","535",".237","37","143","5,405","4,813","500","410","46","88","60",".682","138","108",".783","28","260","61",".235","103","65","1,001"
"31","2017","セ","広",".273","705","152","1,329","917","237","23",".345",".424",".769","1,325","393",".297","2,150","562",".261","63","143","5,592","4,872","736","511","49","152","112",".737","145","116",".800","44","258","67",".260","95","68","1,114"
"32","2017","セ","阪",".249","559","113","1,195","851","213","18",".327",".371",".698","1,264","313",".248","2,104","518",".246","47","143","5,520","4,807","589","531","43","98","70",".714","141","113",".801","26","287","64",".223","97","82","1,008"
"33","2017","セ","Ｄ",".252","571","134","1,230","837","245","14",".311",".391",".702","1,133","308",".272","2,116","540",".255","64","143","5,402","4,872","597","378","46","57","39",".684","102","84",".824","22","231","36",".156","101","66","1,091"
"34","2017","セ","巨",".249","519","113","1,190","839","223","15",".318",".373",".691","1,157","308",".266","2,213","528",".239","53","143","5,384","4,775","536","452","43","78","56",".718","109","87",".798","27","256","61",".238","129","68","1,006"
"35","2017","セ","中",".247","451","111","1,183","859","190","23",".300",".365",".666","1,080","256",".237","2,216","563",".254","43","143","5,306","4,794","487","320","56","117","77",".658","138","115",".833","21","306","75",".245","86","56","1,103"
"36","2017","セ","ヤ",".234","449","95","1,108","828","166","19",".306",".338",".644","1,113","252",".226","2,284","511",".224","48","143","5,358","4,728","473","454","44","76","50",".658","133","109",".820","20","267","50",".187","116","84","1,013"
"37","2018","セ","広",".262","697","175","1,275","839","227","34",".349",".431",".780","1,357","347",".256","1,995","507",".254","70","143","5,663","4,858","721","599","63","140","95",".679","137","109",".796","34","239","53",".222","85","83","1,143"
"38","2018","セ","ヤ",".266","632","135","1,287","915","220","17",".347",".402",".749","1,274","347",".272","2,096","565",".270","59","143","5,582","4,836","658","561","50","95","68",".716","134","109",".813","26","279","61",".219","112","88","931"
"39","2018","セ","巨",".257","606","152","1,255","863","223","17",".325",".403",".728","1,203","326",".271","1,952","484",".248","57","143","5,486","4,878","625","465","32","83","61",".735","134","96",".716","15","259","51",".197","100","65","1,120"
"40","2018","セ","Ｄ",".250","554","181","1,209","788","227","13",".307",".415",".722","1,079","267",".247","2,050","508",".248","78","143","5,344","4,837","572","363","49","107","71",".664","89","71",".798","24","276","61",".221","91","68","1,041"
"41","2018","セ","中",".265","579","97","1,288","950","213","28",".325",".380",".705","1,202","336",".280","2,126","574",".270","36","143","5,431","4,858","598","402","45","95","61",".642","111","86",".775","40","283","58",".205","105","51","981"
"42","2018","セ","阪",".253","551","85","1,221","888","225","23",".330",".361",".691","1,263","335",".265","2,156","523",".243","36","143","5,553","4,833","577","528","46","97","77",".794","131","108",".824","37","295","77",".261","109","88","1,086"
"43","2019","セ","巨",".257","627","183","1,242","823","221","15",".335",".422",".758","1,190","299",".251","1,977","519",".263","70","143","5,537","4,835","663","540","47","103","83",".806","102","84",".824","31","299","71",".237","106","72","1,205"
"44","2019","セ","Ｄ",".246","575","163","1,177","790","210","14",".315",".398",".713","1,066","289",".271","2,050","519",".253","73","143","5,375","4,778","596","449","41","66","40",".606","104","81",".779","26","277","56",".202","109","63","1,065"
"45","2019","セ","阪",".251","509","94","1,213","883","216","20",".319",".362",".681","1,205","298",".247","2,384","609",".255","40","143","5,465","4,835","538","447","49","134","100",".746","129","104",".806","30","253","61",".241","102","99","1,044"
"46","2019","セ","広",".254","562","140","1,232","859","216","17",".324",".392",".716","1,220","318",".261","2,135","528",".247","60","143","5,504","4,852","591","479","36","121","81",".669","135","111",".822","26","285","61",".214","86","87","1,106"
"47","2019","セ","中",".263","545","90","1,265","904","240","31",".317",".381",".698","1,227","323",".263","2,124","558",".263","39","143","5,350","4,816","563","349","48","95","63",".663","131","108",".824","29","282","55",".195","104","43","1,024"
"48","2019","セ","ヤ",".244","630","167","1,181","790","205","19",".329",".398",".728","1,203","298",".248","2,095","524",".250","70","143","5,572","4,833","656","570","56","86","62",".721","121","84",".694","29","313","71",".227","105","96","1,212"
"49","2020","セ","巨",".255","507","135","1,019","685","183","16",".328",".410",".739","953","256",".269","1,614","412",".255","49","120","4,519","3,994","532","423","22","113","80",".708","82","59",".720","21","231","43",".186","80","43","974"
"50","2020","セ","阪",".246","472","110","965","671","167","17",".321",".381",".702","938","242",".258","1,739","421",".242","56","120","4,475","3,923","494","400","43","112","80",".714","106","86",".811","23","204","44",".216","83","85","955"
"51","2020","セ","中",".252","415","70","996","730","178","18",".316",".359",".676","969","246",".254","1,712","445",".260","30","120","4,437","3,952","429","346","39","55","33",".600","110","73",".664","27","204","45",".221","101","51","812"
"52","2020","セ","Ｄ",".266","495","135","1,078","753","180","10",".324",".415",".739","972","255",".262","1,793","466",".260","45","120","4,501","4,058","516","337","29","46","31",".674","65","51",".785","26","243","56",".230","94","52","867"
"53","2020","セ","広",".262","501","110","1,069","740","198","21",".331",".402",".732","1,057","280",".265","1,733","438",".253","39","120","4,609","4,082","523","386","43","96","64",".667","110","81",".736","17","229","63",".275","91","74","890"
"54","2020","セ","ヤ",".242","449","114","967","677","163","13",".321",".375",".696","911","222",".244","1,748","430",".246","52","120","4,552","3,994","468","434","42","109","74",".679","80","56",".700","26","300","62",".207","95","65","931"
"55","2021","セ","ヤ",".254","603","142","1,196","823","214","17",".333",".397",".731","1,202","313",".260","1,994","526",".264","57","143","5,399","4,708","625","535","61","100","70",".700","116","90",".776","27","274","70",".255","105","77","1,079"
"56","2021","セ","阪",".247","517","121","1,164","812","208","23",".311",".379",".689","1,159","289",".249","1,994","501",".251","57","143","5,265","4,704","541","428","40","144","114",".792","100","82",".820","33","220","43",".195","95","87","1,082"
"57","2021","セ","巨",".242","532","169","1,137","750","207","11",".310",".399",".709","1,036","245",".236","2,173","532",".245","73","143","5,241","4,692","552","453","43","102","65",".637","63","48",".762","27","300","57",".190","98","45","1,157"
"58","2021","セ","広",".264","532","123","1,265","925","200","17",".324",".389",".713","1,178","309",".262","2,184","570",".261","54","143","5,361","4,798","557","426","42","105","68",".648","109","85",".780","34","289","68",".235","94","80","1,015"
"59","2021","セ","中",".237","381","69","1,090","818","182","21",".291",".331",".622","1,044","231",".221","2,186","514",".235","31","143","5,073","4,595","405","352","31","96","60",".625","112","98",".875","23","224","48",".214","104","55","973"
